CardID;category;tags
1;Python;"[""языки_программирования"", ""python"", ""название"", ""основы""]"
2;JavaScript;"[""язык_программирования"", ""javascript"", ""правописание"", ""web_разработка""]"
3;Python;"[""python"", ""язык_программирования"", ""динамическая_типизация"", ""автоматическое_управление_памятью"", ""гвидо_ван_россум"", ""веб-разработка"", ""наука_о_данных""]"
4;Python;"[""история_python"", ""гвидо_ван_россум"", ""проектирование_языка"", ""python"", ""язык_программирования_abc""]"
5;Python;"[""типы_данных"", ""классификация"", ""числа"", ""строки"", ""списки"", ""кортежи"", ""словари"", ""множества"", ""булевы_значения"", ""python""]"
6;Python;"[""лямбда-функция"", ""анонимная_функция"", ""python"", ""функции_высшего_порядка"", ""компактный_код"", ""map""]"
7;Python;"[""pep_8"", ""стилевые_соглашения"", ""написание_кода"", ""python"", ""читабельность_кода"", ""стандарт_кодирования""]"
8;Python;"[""документация"", ""атрибуты"", ""python"", ""получение_документации"", ""help"", ""__doc__""]"
9;Python;"[""docstring"", ""документация"", ""функции"", ""классы"", ""python_разработка"", ""автоматическая_генерация_документации""]"
10;Python;"[""типы_данных"", ""list_vs_tuple"", ""мутабельность"", ""иммутабельность"", ""python"", ""структуры_данных""]"
11;Python;"[""индексы_списка"", ""отрицательные_индексы"", ""python"", ""срезы_списка"", ""последний_элемент"", ""обратный_порядок""]"
12;Python;"[""pass"", ""пустой_оператор"", ""python"", ""заглушка_функции"", ""цикл""]"
13;Python;"[""язык_программирования"", ""высокий_уровень"", ""интерпретируемый"", ""динамическая_типизация"", ""автоматическое_управление_памятью"", ""python""]"
14;Python;"[""история_python"", ""гвидо_ван_россум"", ""начало"", ""1980-е"", ""programming_language"", ""cwi""]"
15;Python;"[""типы_данных"", ""числа"", ""строки"", ""списки"", ""кортежи"", ""словари"", ""множества"", ""булевы_значения"", ""классы_типов""]"
16;Python;"[""лямбда-функция"", ""анонимная_функция"", ""python"", ""функции_высшего_порядка"", ""map"", ""компактный_код""]"
17;Python;"[""pep_8"", ""стилевые_соглашения"", ""читабельность_кода"", ""python"", ""стандарты_кодирования""]"
18;Python;"[""документация"", ""атрибуты_объекта"", ""python"", ""help"", ""__doc__"", ""встроенные_функции""]"
19;Python;"[""docstring"", ""документация"", ""функции_python"", ""разработка_программного_обеспечения"", ""кодирование"", ""описание_api""]"
20;Python;"[""типы_данных"", ""list_vs_tuple"", ""мутабельные"", ""иммутабельные"", ""python"", ""эффективность_памяти"", ""скорость_доступа""]"
21;Python;"[""индексы_списка"", ""отрицательные_индексы"", ""срезы_списка"", ""python"", ""списки"", ""обращение_к_элементам""]"
22;Python;"[""pass"", ""пустой_оператор"", ""python"", ""заглушка_функции"", ""синтаксис"", ""управление_потоком""]"
23;Python;"[""многопоточность"", ""многопроцессорность"", ""threading"", ""multiprocessing"", ""concurrent.futures"", ""ресурсы_компьютера""]"
24;Python;"[""просмотр_методов"", ""атрибуты_объекта"", ""python"", ""dir"", ""работа_с_объектами"", ""исследование_кода""]"
25;Python;"[""args"", ""kwargs"", ""переменное_количество_аргументов"", ""функции"", ""python"", ""позиционные_аргументы"", ""именованные_аргументы""]"
26;Python;"[""объектно_ориентированное_программирование"", ""oop"", ""наследование"", ""инкапсуляция"", ""полиморфизм"", ""множественное_наследование"", ""классы""]"
27;Python;"[""встроенные_функции"", ""python"", ""глобальные_переменные"", ""локальные_переменные"", ""globals"", ""locals""]"
28;Python;"[""атрибуты_объекта"", ""словарь"", ""python"", ""классы"", ""экземпляры_классов"", ""доступ_к_атрибутам""]"
29;Python;"[""проверка_синтаксиса"", ""py_compile"", ""командная_строка"", ""терминал"", ""python"", ""синтаксические_ошибки""]"
30;Python;"[""self"", ""классы"", ""методы"", ""объектно_ориентированное_программирование"", ""атрибуты"", ""python""]"
31;Python;"[""декораторы"", ""функции"", ""расширение_функциональности"", ""python"", ""пример_кода"", ""синтаксис""]"
32;Python;"[""ключи_словаря"", ""неизменяемые_объекты"", ""типы_данных"", ""python"", ""dictionary"", ""hashable""]"
33;Python;"[""модули"", ""пакеты"", ""импорт"", ""инициализация"", ""python_код"", ""структура_проекта""]"
34;Python;"[""перевод_строки_в_число"", ""двоичное_число"", ""int"", ""цикл_for"", ""binary_to_decimal"", ""python""]"
35;Python;"[""конструктор_класса"", ""инициализация_объектов"", ""python"", ""oop"", ""атрибуты_класса"", ""self""]"
36;Python;"[""слайс"", ""извлечение_части"", ""индексация"", ""python"", ""sequence"", ""list""]"
37;Python;"[""проверка_содержания_элементов"", ""кортежи"", ""python"", ""встроенные_функции"", ""генератор_списков"", ""преобразование_типов""]"
38;Python;"[""аргументы_функции"", ""изменяемые_типы"", ""пустой_список"", ""best_practices"", ""default_arguments"", ""python""]"
39;Python;"[""декораторы"", ""classmethod"", ""staticmethod"", ""property"", ""методы_класса"", ""python""]"
40;Python;"[""синхронный_код"", ""последовательное_выполнение"", ""блокировка"", ""производительность"", ""python"", ""async/await"", ""asyncio""]"
41;Python;"[""асинхронное_программирование"", ""asyncio"", ""python"", ""пример_кода"", ""корутины"", ""асинхронные_функции""]"
42;Python;"[""модульное_деление"", ""арифметические_операции"", ""python"", ""остаток_от_деления"", ""базовые_концепции""]"
43;Python;"[""id()"", ""уникальный_идентификатор"", ""адрес_в_памяти"", ""сравнение_объектов"", ""python""]"
44;Python;"[""итератор"", ""генератор"", ""python"", ""next"", ""stopiteration"", ""программирование""]"
45;Python;"[""генератор"", ""итератор"", ""yield"", ""последовательность_значений"", ""эффективное_использование_памяти"", ""python""]"
46;Python;"[""yield"", ""генераторы"", ""последовательность_значений"", ""инструкция_yield"", ""python"", ""эффективность_памяти"", ""итерируемые_объекты""]"
47;Python;"[""итераторы"", ""методы"", ""iter"", ""next"", ""исключение_stopiteration"", ""python""]"
48;Python;"[""контекстный_менеджер"", ""with"", ""ресурсы"", ""enter"", ""exit"", ""файловая_система"", ""python""]"
49;Python;"[""python"", ""pyinstaller"", ""исполняемый_файл"", ""кроссплатформенность"", ""установка"", ""командная_строка""]"
50;Python;"[""копирование_объектов"", ""глубокое_копирование"", ""python"", ""copy"", ""deepcopy"", ""поверхностное_копирование""]"
51;Python;"[""сборщик_мусора"", ""управление_памятью"", ""python"", ""автоматическое_управление_памятью"", ""подсчет_ссылок"", ""обнаружение_циклов""]"
52;Python;"[""глобальные_переменные"", ""лучшие_практики"", ""Python"", ""переменные"", ""функции"", ""локальные_переменные""]"
53;Python;"[""оптимизация"", ""slots"", ""атрибуты_класса"", ""экономия_памяти"", ""python""]"
54;Python;"[""пространства_имен"", ""builtins"", ""main"", ""name"", ""globals()"", ""locals()"", ""python""]"
55;Python;"[""управление_памятью"", ""сборка_мусора"", ""garbage_collector"", ""reference_counting"", ""циклический_сборщик"", ""gc_module""]"
56;Python;"[""метаклассы"", ""динамическое_изменение_класса"", ""создание_классов"", ""фреймворки"", ""автоматическая_регистрация"", ""сериализация""]"
57;Python;"[""отладка"", ""debugging"", ""pdb"", ""интерактивный_отладчик"", ""python"", ""set_trace""]"
58;Python;"[""срезы"", ""пустой_список"", ""индексация"", ""python"", ""списки"", ""операции_со_списками""]"
59;Python;"[""создание_класса"", ""без_class"", ""type"", ""metaclass"", ""python"", ""программирование""]"
60;Python;"[""перезагрузка_модуля"", ""importlib"", ""reload"", ""python"", ""разработка"", ""тестирование""]"
61;Python;"[""декораторы"", ""перехват_ошибок"", ""retry"", ""исключения"", ""функциональное_программирование"", ""python""]"
62;Python;"[""преобразование_типов"", ""строки"", ""списки"", ""map"", ""len"", ""join"", ""python""]"
63;Python;"[""легкость_языка"", ""синтаксис"", ""стандартная_библиотека"", ""web-разработка"", ""научное_моделирование"", ""искусственный_интеллект"", ""машинное_обучение"", ""многофункциональность""]"
64;Python;"[""проблемы_python"", ""ограничения_python"", ""GIL"", ""управление_пакетами"", ""производительность"", ""динамическая_типизация"", ""управление_памятью""]"
65;Python;"[""исключения"", ""try_except_else"", ""управление_исключениями"", ""python"", ""блок_else"", ""обработка_ошибок""]"
66;Python;"[""множественное_наследование"", ""классы"", ""наследование"", ""python"", ""объектно_ориентированное_программирование"", ""oop""]"
67;Python;"[""dict"", ""set"", ""хэш-таблица"", ""сложность_операций"", ""python"", ""память""]"
68;Python;"[""mro"", ""наследование"", ""method_resolution_order"", ""классы"", ""алгоритм_c3"", ""python""]"
69;Python;"[""передача_аргументов"", ""по_ссылке"", ""изменяемые_типы"", ""неизменяемые_типы"", ""python"", ""функции""]"
70;Python;"[""статический_анализ"", ""pylint"", ""flake8"", ""mypy"", ""bandit"", ""black"", ""pycodestyle"", ""vulture"", ""pep8"", ""форматирование_кода"", ""типизация"", ""уязвимости""]"
71;Python;"[""sys.getrefcount"", ""ссылки"", ""списки"", ""python""]"
72;Python;"[""gil"", ""global_interpreter_lock"", ""многопоточность"", ""cpython"", ""производительность"", ""асинхронное_программирование""]"
73;Python;"[""интерпретируемый_язык"", ""байт-код"", ""python"", ""компиляция"", ""pycache"", ""виртуальная_машина""]"
74;Python;"[""репликация_кода"", ""системы_контроля_версий"", ""git"", ""docker"", ""pyinstaller"", ""модуль_shutil"", ""функции_и_модули""]"
75;Python;"[""дескрипторы"", ""декораторы"", ""python"", ""разница_между_дескрипторами_и_декораторами"", ""протокол_доступа_к_атрибутам"", ""property""]"
76;Python;"[""управление_памятью"", ""сборка_мусора"", ""python"", ""утечка_памяти"", ""memory_profiler"", ""оптимизация""]"
77;Python;"[""python"", ""классы"", ""свойства"", ""getter_setter"", ""декораторы"", ""property""]"
78;Python;"[""интернирование_строк"", ""оптимизация_памяти"", ""python"", ""сравнение_строк"", ""производительность"", ""строковые_константы""]"
79;Python;"[""python"", ""бинарные_зависимости"", ""менеджеры_пакетов"", ""pip"", ""conda"", ""requirements.txt"", ""wheel""]"
80;Python;"[""хвостовая_рекурсия"", ""оптимизация"", ""python"", ""переполнение_стека"", ""итеративный_подход"", ""sys.setrecursionlimit""]"
81;Python;"[""wheels"", ""eggs"", ""форматы_пакетов"", ""pip"", ""дистрибуция_пакетов"", ""python""]"
82;Python;"[""взаимодействие_python_c"", ""python/c_api"", ""ctypes"", ""вызов_функций"", ""интеграция"", ""python""]"
83;Python;"[""ускорение_кода"", ""векторизация"", ""структуры_данных"", ""компиляция"", ""многопоточность"", ""параллелизм"", ""оптимизация""]"
84;Python;"[""pycache"", ""байт-код"", ""компиляция"", ""python"", ""скомпилированные_файлы"", "".pyc"", ""ускорение_загрузки""]"
85;Python;"[""виртуальное_окружение"", ""python"", ""venv"", ""изоляция_зависимостей"", ""установка_пакетов"", ""python_пакеты""]"
86;Python;"[""императивный_язык"", ""декларативный_язык"", ""программирование"", ""python"", ""команды"", ""основы_python""]"
87;Python;"[""менеджер_пакетов"", ""python"", ""pip"", ""conda"", ""easy_install"", ""poetry"", ""управление_зависимостями""]"
88;Python;"[""numpy"", ""преимущества_numpy"", ""оптимизация_памяти"", ""матричные_операции"", ""векторизованные_вычисления"", ""python""]"
89;Python;"[""замыкание"", ""статическая_переменная"", ""внутренняя_функция"", ""nonlocal"", ""python"", ""функции""]"
90;Python;"[""генератор"", ""итератор"", ""yield"", ""return"", ""цикл_for"", ""python""]"
91;Python;"[""python"", ""хэш-таблица"", ""структура_данных"", ""имплементация"", ""программирование"", ""классы""]"
92;Python;"[""однострочник"", ""обработка_файлов"", ""подсчет_заглавных_букв"", ""python"", ""file_handling"", ""uppercase_count""]"
93;Python;"[""файлы_pth"", ""импорт_модулей"", ""python"", ""sys.path"", ""безопасность"", ""модули""]"
94;Python;"[""collections"", ""itertools"", ""defaultdict"", ""counter"", ""namedtuple"", ""chain"", ""groupby"", ""combinations"", ""permutations"", ""функции_python"", ""работа_с_данными""]"
95;Python;"[""оптимизация_кода"", ""скомпилированный_код"", ""python"", ""pythonoptimize"", ""ускорение_выполнения"", ""docstrings"", ""assert_statements""]"
96;Python;"[""списки"", ""циклы"", ""enumerate"", ""кортежи"", ""python"", ""присваивание_ссылок""]"
